name,pack,price,fire_behavior,shield_type,outer_sheath_material,conductor_strand_type,connector_type,sheath_color,awg,core_strands,cross_sectional_area,outer_diameter,attenuation,capacitance,voltage_rating,cable_shape
"RS Pro Blue PVC Cat5 Ethernet Cable UTP, 50m Unterminated",1 Reel of 50 Metre(s),"PHP1,341.38",-,UTP,PVC,Stranded,Unterminated,Blue,26,7/0.16 mm,-,5.2mm,37.4 dB,330 pF,-,Twisted Pair
"Siemens Green PVC Cat5 Ethernet Cable SF/UTP, 20m Unterminated",1 Reel of 20 Metre(s),"PHP2,732.87",Flame Retardant,SF/UTP,PVC,-,Unterminated,Green,22 AWG,-,0.33,-,-,-,100 V,-
"Harting Green PVC Cat5 Cable SF/UTP, 100m Unterminated",1 Reel of 100 Metre(s),"PHP15,217.43",-,SF/UTP,PVC,Stranded,Unterminated,Green,22 AWG,7/22,2.28 mm²,6.5mm,2.1 dB/100m @ 1MHz,-,-,Multicore
"Harting Green PVC Cat5 Cable SF/UTP, 100m Unterminated",1 Reel of 100 Metre(s),"PHP13,624.71",-,SF/UTP,PVC,Solid,Unterminated,Green,22,1/22,0.33 mm²,6.5mm,2.1 dB/100m @ 1MHz,-,-,Multicore
"Harting Green PUR Cat5 Cable SF/UTP, 100m Unterminated",1 Reel of 100 Metre(s),"PHP33,620.72",Flame Retardant,SF/UTP,PUR,Stranded,Unterminated,Green,22 AWG,7/22,0.33 mm2,6.5mm,2.1 dB/100m @ 1MHz,-,2 kV,Multicore
"Siemens Green PVC Cat5 Ethernet Cable Assembly SF/UTP, 20m Unterminated",1 Reel of 20 Metre(s),"PHP2,865.53",-,SF/UTP,PVC,-,Unterminated,Green,-,-,-,-,-,-,-,-
"Alpha Wire Grey PVC Cat5 Cable SF/FTP, 30m Unterminated",1 Reel of 30 Metre(s),"PHP11,643.31",-,SF/FTP,PVC,Stranded,Unterminated,Grey,20,"7/0.32 mm (Data), 7/0.32 mm (Power)",-,10.19mm,3 dB/100ft @ 10MHz,54.776 pF/m,300 V,Multicore
"Alpha Wire Grey PVC Cat5 Cable S/FTP, 30m Unterminated",1 Reel of 30 Metre(s),"PHP8,143.20",-,S/FTP,PVC,Stranded,Unterminated,Grey,"24 (Power), 28 (Data)","7/32 (Power), 7/36 (Data)","0.08 (Data) mm², 0.23 (Power) mm²",6.35mm,1.4 dB/100ft @ 1MHz,64.616 pF/m,300 V,Multicore
"Harting Black PVC Cat5 Cable SF/UTP, 20m Unterminated",1 Reel of 20 Metre(s),"PHP3,445.11",Flame Retardant,SF/UTP,PVC,Stranded,Unterminated,Black,22 AWG,7/22,0.33 mm2,6.5mm,2.1 dB/100m @ 1MHz,-,-,Twisted Pair
"Alpha Wire Grey PVC Cat5 Cable S/FTP, 100m Unterminated",1 Reel of 100 Metre(s),"PHP16,200.65",-,S/FTP,PVC,Stranded,Unterminated,Grey,"24 (Power), 28 (Data)","7/32 (Power), 7/36 (Data)","0.08 (Data) mm², 0.23 (Power) mm²",6.35mm,1.4 dB/100ft @ 1MHz,64.616 pF/m,300 V,Multicore
2m Unshielded Cat5 Cable Assembly Black,Each,"PHP1,933.12",-,Unshielded,Plastic,-,-,Black,-,-,-,-,-,-,-,-
"RS Pro Green PVC Cat5 Ethernet Cable UTP, 50m Unterminated",1 Reel of 50 Metre(s),"PHP1,490.42",-,UTP,PVC,Stranded,Unterminated,Green,26,7/0.16 mm,-,5.2mm,37.4 dB,330 pF,-,Twisted Pair
4m U/UTP Crossover Cat5 Ethernet Cable Assembly Grey,Each,PHP924.96,-,U/UTP,-,-,-,Grey,-,-,-,-,-,-,-,-
500mm U/UTP Crossover Cat5 Ethernet Cable Assembly Grey,Each,PHP328.01,-,U/UTP,-,-,-,Grey,-,-,-,-,-,-,-,-
500mm U/FTP Cat5 Ethernet Cable Assembly Green,Each,PHP871.43,-,U/FTP,PVC,-,-,Green,-,-,-,-,-,-,-,-
"Harting Black PVC Cat5 Cable SF/UTP, 50m Unterminated",1 Reel of 50 Metre(s),"PHP8,378.40",-,SF/UTP,PVC,Stranded,Unterminated,Black,22 AWG,7/22,2.28 mm²,6.5mm,2.1 dB/100m @ 1MHz,-,-,Twisted Pair
1m SF/UTP Cat5 Cable Assembly Green,Each,"PHP3,333.88",-,SF/UTP,PUR,-,-,Green,-,-,-,-,-,-,-,-
1m FTP Cat5 Ethernet Cable Assembly Red,Each,PHP141.18,-,FTP,PVC,-,-,Red,-,-,-,-,-,-,-,-
