name,pack,price,length,shield_type,sheath_color,cond_str_type,conn_type,outer_sht_material,core_strands,fire_behav,awg,strand_num,outer_diameter,voltage_rating,cable_shape,cross_sectl_area
"Belden Grey PVC Cat5e Cable U/UTP, 305m Unterminated",1 Reel of 304 Metre(s),"PHP6,724.39",305m,U/UTP,Grey,Solid,Unterminated,PVC,-,-,24,-,4.7mm,48 V,Twisted Pair,0.2 mm²
"Belden Grey PVC Cat5e Cable U/UTP, 100m Unterminated",1 Reel of 100 Metre(s),"PHP2,800.01",100m,U/UTP,Grey,Solid,Unterminated,PVC,1/24,-,24 AWG,1,4.7mm,48 V,Twisted Pair,0.2 mm²
"RS Pro Grey PVC Cat5e Cable UTP, 100m Unterminated",1 Reel of 100 Metre(s),"PHP2,295.39",100m,UTP,Grey,Stranded,Unterminated,PVC,7/0.16 mm,-,26,7,5.2mm,300 V ac,Twisted Pair,0.14 mm²
"Belden Black PUR Cat5e Cable SF/UTP, 305m Unterminated",1 Reel of 305 Metre(s),"PHP34,387.15",305m,SF/UTP,Black,Stranded,Unterminated,PUR,19/26,-,26 AWG,19,-,-,Twisted Pair,0.13 mm²
"Belden Grey PVC Cat5e Cable F/UTP, 100m Unterminated",1 Reel of 100 Metre(s),"PHP5,191.92",100m,F/UTP,Grey,Solid,Unterminated,PVC,1/24,-,24,1,6.5mm,48 V,Twisted Pair,0.2 mm²
"Belden Grey PVC Cat5e Cable SF/UTP, 100m Unterminated",1 Reel of 100 Metre(s),"PHP7,545.01",100m,SF/UTP,Grey,Solid,Unterminated,PVC,1/24,-,24,1,6mm,48 V,Twisted Pair,0.2 mm²
"Belden Grey PVC Cat5e Cable S/FTP, 500m Unterminated",1 Reel of 500 Metre(s),"PHP31,893.90",500m,S/FTP,Grey,Solid,Unterminated,PVC,1/24,-,24 AWG,1,6.3mm,-,Twisted Pair,0.2 mm²
"RS Pro Grey PVC Cat5e Cable F/UTP, 305m Unterminated",1 Reel of 305 Metre(s),"PHP11,244.92",305m,F/UTP,Grey,Solid,Unterminated,PVC,1/24,-,24 AWG,1,5mm,-,Twisted Pair,0.2 mm²
"Belden Black PVC Cat5e Cable SF/UTP, 305m Unterminated",1 Reel of 305 Metre(s),"PHP21,479.53",305m,SF/UTP,Black,Solid,Unterminated,PVC,1/24,-,24 AWG,1,-,"300 V ac, 450 V dc",Twisted Pair,0.2 mm²
"RS Pro Grey PVC Cat5e Cable U/UTP, 305m Unterminated",1 Reel of 305 Metre(s),"PHP8,155.33",305m,U/UTP,Grey,Solid,Unterminated,PVC,1/24,-,24,1,5mm,-,Twisted Pair,0.2 mm²
"Belden Grey LSZH Cat5e Cable SF/UTP, LSZH 100m Unterminated",1 Reel of 100 Metre(s),"PHP8,331.27",100m,SF/UTP,Grey,Solid,Unterminated,LSZH,1/24,Low Smoke Zero Halogen (LSZH),24,1,6.3mm,48 V,Twisted Pair,0.2 mm²
"Belden Grey LSZH Cat5e Cable S/FTP, LSZH 500m Unterminated",1 Reel of 500 Metre(s),"PHP41,298.94",500m,S/FTP,Grey,Solid,Unterminated,LSZH,1/24,Low Smoke Zero Halogen (LSZH),24,1,6.3mm,48 V,Twisted Pair,0.2 mm²
"Belden Blue LSZH Cat5e Cable U/UTP, LSZH 305m Unterminated",1 Reel of 304 Metre(s),"PHP9,166.45",305m,U/UTP,Blue,Solid,Unterminated,LSZH,1/24,Low Smoke Zero Halogen (LSZH),24 AWG,1,4.7mm,300 V,Twisted Pair,0.2 mm²
"Belden Grey LSZH Cat5e Cable U/UTP, LSZH 100m Unterminated",1 Reel of 100 Metre(s),"PHP2,902.33",100m,U/UTP,Grey,Solid,Unterminated,LSZH,1/24,Low Smoke Zero Halogen (LSZH),24 AWG,1,4.7mm,48 V,Twisted Pair,0.2 mm²
"Brand-Rex Purple PE Cat5e Cable U/UTP, LSZH 305m Unterminated",1 Reel of 305 Metre(s),"PHP9,426.11",305m,U/UTP,Purple,Solid,Unterminated,PE,1/24,Low Smoke Zero Halogen (LSZH),24,1,4.85mm,-,Twisted Pair,0.2 mm²
"Belden LSZH Cat5e Cable F/UTP, LSZH 305m Unterminated",1 Reel of 304 Metre(s),"PHP14,528.35",305m,F/UTP,-,Solid,Unterminated,LSZH,1/24,Low Smoke Zero Halogen (LSZH),24,1,6.5mm,48 V,Twisted Pair,0.2 mm²
"Belden Grey PVC Cat5e Cable F/UTP, 305m Unterminated",1 Reel of 304 Metre(s),"PHP17,405.91",305m,F/UTP,Grey,Solid,Unterminated,PVC,1/24,-,24,1,6.5mm,-,Twisted Pair,0.2 mm²
