name,pack,price,shield_type,length,sheath_color,conductor_strand_type,outer_sheath_material,awg,strand_num,core_strands,outer_diameter,voltage_rating,attenuation,strand_size,fire_behavior,cross_sectional_area
"Belden Grey Cat6 Cable U/UTP PVC, 100m",1 Reel of 100 Metre(s),"PHP5,345.62",U/UTP,100m,Grey,Solid,PVC,23 AWG,1,-,6.5mm,48 V,-,23 AWG,-,0.2 mm²
"Belden Grey Cat6 Cable U/UTP PVC, 304m",1 Reel of 304 Metre(s),"PHP15,675.27",U/UTP,304m,Grey,Solid,PVC,23 AWG,1,-,6.5mm,48 V,-,23 AWG,-,0.2 mm²
"Belden Blue Cat6 Cable U/UTP LSZH, 304m",1 Reel of 304 Metre(s),"PHP18,956.97",U/UTP,304m,Blue,Solid,LSZH,23 AWG,1,-,6.5mm,48 V,-,23 AWG,-,0.2 mm²
"Belden Blue Cat6 Cable U/UTP LSZH, 100m",1 Reel of 100 Metre(s),"PHP6,610.33",U/UTP,100m,Blue,Solid,LSZH,23 AWG,1,-,6.5mm,48 V,-,23 AWG,-,0.2 mm²
Roline Blue 10m Cat6 Ethernet Cable Assembly RJ45,Each,"PHP1,031.21",S/FTP,10m,Blue,-,-,-,-,-,-,-,-,-,-,-
"RS Pro Grey Cat6 Cable UTP LSZH, PVC Low Smoke Zero Halogen (LSZH), 500m",1 Reel of 500 Metre(s),"PHP17,464.30",UTP,500m,Grey,Solid,"LSZH, PVC",24 AWG,-,-,6mm,-,"2.1 dB @ 1 MHz, 3.8 dB @ 4 MHz, 6 dB @ 10 MHz, 7.6 dB @ 16 MHz, 10.7 dB @ 31.25 MHz, 15.5 dB @ 62.5 MHz, 19.9 dB @ 100 MHz, 33 dB @ 250 MHz",-,Low Smoke Zero Halogen (LSZH),0.2 mm²
"RS Pro Grey Cat6 Cable UTP LSZH, PVC Low Smoke Zero Halogen (LSZH), 100m",1 Reel of 100 Metre(s),"PHP3,400.64",UTP,100m,Grey,Solid,"LSZH, PVC",24 AWG,-,-,6mm,-,"2.1 dB @ 1 MHz, 3.8 dB @ 4 MHz, 6 dB @ 10 MHz, 7.6 dB @ 16 MHz, 10.7 dB @ 31.25 MHz, 15.5 dB @ 62.5 MHz, 19.9 dB @ 100 MHz, 33 dB @ 250 MHz",-,Low Smoke Zero Halogen (LSZH),0.2 mm²
"RS Pro Purple Cat6 Cable F/UTP LSZH Low Smoke Zero Halogen (LSZH), 305m",1 Reel of 305 Metre(s),"PHP17,388.52",F/UTP,305m,Purple,Stranded,LSZH,26 AWG,1,1/23,7.4mm,-,-,23 AWG,Low Smoke Zero Halogen (LSZH),0.13 mm²
RS Pro Blue 10m Cat6 Ethernet Cable Assembly RJ45,Each,PHP581.26,S/FTP,10m,Blue,-,PVC,-,-,-,-,-,-,-,-,-
RS Pro Blue 3m Cat6 Ethernet Cable Assembly RJ45,Each,PHP247.12,U/UTP,3m,Blue,-,PVC,-,-,-,-,-,-,-,-,-
Roline Red 15m Cat6 Ethernet Cable Assembly RJ45,Each,"PHP1,266.63",S/FTP,15m,Red,-,-,-,-,-,-,-,-,-,-,-
RS Pro Blue 2m Cat6 Ethernet Cable Assembly RJ45,Each,PHP182.00,U/UTP,2m,Blue,-,PVC,-,-,-,-,-,-,-,-,-
"Siemens Green Cat6 Cable Twisted Pair PVC, 20m",1 Reel of 20 Metre(s),"PHP3,855.25",Twisted Pair,20m,Green,-,PVC,24 AWG,-,-,-,-,-,-,-,-
