name,pack,price,coaxial_type,outer_diameter,characteristic_impedance,reel_length,sheath_color,sheath_material,insulation_material,conductor_material,conductor_strand_type,core_strands,number_of_strands,size_of_strands,connector_type,attenuation
"Belden Black RG11/U Coaxial Cable, Polyethylene PE Sheath 152m, 75 Ω, 10.29mm OD",1 Reel of 152,"PHP45,535.41",RG11/U,10.29mm,75 Ω,152m,Black,Polyethylene PE,Foam HDPE,Bare Copper,Solid,1/14,1,14 AWG,-,"2.9 dB/100ft @ 400MHz, 4.1 dB/100ft @ 700MHz, 4.8 dB/100ft @ 900MHz, 5.2 dB/100ft @ 1GHz"
"Belden Black RF Transmission RG8/U Coaxial Cable, Polyvinyl Chloride PVC Sheath 152m, 50 Ω, 10.29mm OD",1 Reel of 152,"PHP69,626.07",RG8/U,10.29mm,50 Ω,152m,Black,Polyvinyl Chloride PVC,PE,Bare Copper,Solid,1/10,1,10 AWG,-,"2.6 dB/100ft @ 400MHz, 3.6 dB/100ft @ 700MHz, 4.1 dB/100ft @ 900MHz, 4.4 dB/100ft @ 1GHz"
"Belden Black RG214/U Coaxial Cable, Polyvinyl Chloride PVC Sheath 100m, 50 Ω, 10.8mm OD",1 Reel of 100 Metre(s),"PHP68,119.65",RG214/U,10.8mm,50 Ω,100m,Black,Polyvinyl Chloride PVC,PE,Silver Plated Copper,Stranded,7/21,7,21 AWG,W,"21.3 dB/100m @ 700MHz, 24.9 dB/100m @ 900MHz, 26.2 dB/100m @ 1GHz, 65.6 dB/100m @ 4GHz"
"Belden Black RG214/U Coaxial Cable, Polyvinyl Chloride PVC Sheath 25m, 50 Ω, 10.8mm OD",1 Reel of 25 Metre(s),"PHP15,909.08",RG214/U,10.8mm,50 Ω,25m,Black,Polyvinyl Chloride PVC,PE,Silver Plated Copper,Stranded,7/21,7,21 AWG,W,"21.3 dB/100m @ 700MHz, 24.9 dB/100m @ 900MHz, 26.2 dB/100m @ 1GHz, 65.6 dB/100m @ 4GHz"
"RS Pro Black RG59 Coaxial Cable, Polyvinyl Chloride PVC Sheath 100m, 75 Ω, 3.6mm OD",1 Reel of 100 Metre(s),"PHP1,451.17",RG59,3.6mm,75 Ω,100m,Black,Polyvinyl Chloride PVC,PE,Copper Clad Steel,Stranded,1/0.41 mm,1,0.41 mm,M,"6.5 dB/100m @ 10 MHz, 12.5 dB/100m @ 50 MHz, 16.7 dB/100m @ 100 MHz, 19.8 dB/100m @ 150 MHz, 22.5 dB/100m @ 200 MHz, 24.8 dB/100m @ 250 MHz, 27 dB/100m @ 300 MHz, 31.5 dB/100m @ 400 MHz, 33.1 dB/100m @ 450 MHz, 34.9 dB/100m @ 500 MHz, 40.1 dB/100m @ 650 MHz, 44.75 dB/100m @ 800 MHz, 46.64 dB/100m @ 860 MHz, 50.5 dB/100m @ 1 GHz"
"Belden Black RG174/U Coaxial Cable, Polyvinyl Chloride PVC Sheath 50m, 50 Ω, 2.79mm OD",1 Reel of 50 Metre(s),"PHP2,602.23",RG174/U,2.79mm,50 Ω,50m,Black,Polyvinyl Chloride PVC,PE,Bare Copper Clad Steel,Stranded,7/34,7,34 AWG,B,"62.3 dB/100m @ 400MHz, 88.6 dB/100m @ 700MHz, 101.7 dB/100m @ 900MHz, 111.5 dB/100m @ 1GHz"
"Belden Black RG174/U Coaxial Cable, Polyvinyl Chloride PVC Sheath 500m, 50 Ω, 2.79mm OD",1 Reel of 500 Metre(s),"PHP27,624.55",RG174/U,2.79mm,50 Ω,500m,Black,Polyvinyl Chloride PVC,PE,Bare Copper Clad Steel,Stranded,7/34,7,34 AWG,B,"62.3 dB/100m @ 400MHz, 88.6 dB/100m @ 700MHz, 101.7 dB/100m @ 900MHz, 111.5 dB/100m @ 1GHz"
"RS Pro Brown RG316/U Coaxial Cable, FEP Sheath 100m, 50 Ω, 2.5mm OD",1 Reel of 100 Metre(s),"PHP10,099.12",RG316/U,2.5mm,50 Ω,100m,Brown,FEP,PTFE,Silver Plated Copper Clad Steel,Stranded,7/0.17,7,0.17 mm,B,"27.51 dB/100m @ 100MHz, 55.76 dB/100m @ 400MHz, 89.88 dB/100m @ 1GHz, 160.86 dB/100m @ 3GHz"
"Belden Black RG213 Coaxial Cable, Polyvinyl Chloride PVC Sheath 100m, 50 Ω, 10.3mm OD",1 Reel of 100 Metre(s),"PHP18,506.19",RG213,10.3mm,50 Ω,100m,Black,Polyvinyl Chloride PVC,PE,Bare Copper,Stranded,7/21,7,21 AWG,T,"21.3 dB/100m @ 700MHz, 24.9 dB/100m @ 900MHz, 26.2 dB/100m @ 1GHz, 70.5 dB/100m @ 4GHz"
"Belden Grey RG59 Coaxial Cable, Low Smoke Zero Halogen (LSZH) Sheath 100m, 75 Ω, 5.9mm OD",1 Reel of 100 Metre(s),"PHP12,526.63",RG59,5.9mm,75 Ω,100m,Grey,Low Smoke Zero Halogen (LSZH),PE,Bare Copper,Solid,-,-,-,-,-
"Nexans Black RG213/U Coaxial Cable, Polyvinyl Chloride PVC Sheath 20m, 50 Ω, 10.3mm OD",1 Reel of 20 Metre(s),"PHP4,438.03",RG213/U,10.3mm,50 Ω,20m,Black,Polyvinyl Chloride PVC,PE,Bare Copper,Stranded,7/0.75,7,0.75 mm,-,"9.5 dB/100m @ 200MHz, 14.5 dB/100m @ 400MHz, 55 dB/100m @ 3GHz"
"Belden Black RG6/U Coaxial Cable, Low Smoke Zero Halogen (LSZH) Sheath 305m, 75 Ω, 6.99mm OD",1 Reel of 305 Metre(s),"PHP43,850.06",RG6/U,6.99mm,75 Ω,305m,Black,Low Smoke Zero Halogen (LSZH),Polyethylene,-,Solid,1/18,1,18 AWG,-,-
"CAE Groupe Coaxial Cable,",1 Reel of 100 Metre(s),"PHP8,455.27",RG11A/U,10.3mm,75 Ω,100m,Black,Polyvinyl Chloride PVC,PE,Tinned Copper,Stranded,7/0.4 mm,7,0.4 mm,BNC,"9.4 dB/100m @ 200MHz, 14.1 dB/100m @ 400MHz, 21.9 dB/100m @ 800MHz, 25.5 dB/100m @ 1GHz"
"RS Pro Black RG6 Coaxial Cable, Polyvinyl Chloride PVC Sheath 100m, 75 Ω, 6.5mm OD",1 Reel of 100 Metre(s),"PHP1,471.78",RG6,6.5mm,75 Ω,100m,Black,Polyvinyl Chloride PVC,FPE,Copper Clad Steel,Solid,1/1,1,1 mm,-,5.2 dB/100m @ 100 MHz
