name,pack,price,fire_behavior,propagation_mode,cable_construction,cable_type,core_diameter,reel_length,sheath_material,min_bend_radius,core_num,sheath_color,attenuation,cable_shape,max_pulling_tension,series
"RS Pro OM3 Multi Mode Fibre Optic Cable 8 Core Flame Retardant, Low Smoke Zero Halogen (LSZH)",1 Reel of 250 Metre(s),"PHP27,651.44","Flame Retardant, Low Smoke Zero Halogen (LSZH)",OM3 Multi Mode,Loose Tube,-,6.5mm,250m,Low Smoke Zero Halogen (LSZH),"10D (Installed) mm, 20D (Installation) mm",8,Black,-,Fibre Optic,"500 (Installed) N, 1000 (Installation) N",-
RS Pro Multi Mode Fibre Optic Cable 250m 4 Core Low Smoke Zero Halogen (LSZH),1 Reel of 250 Metre(s),"PHP32,055.90",Low Smoke Zero Halogen (LSZH),Multi Mode,-,Fibre Optic,0.0625mm,250m,Low Smoke Zero Halogen (LSZH),60 mm,4,Black,"150 dB/km @ 850nm, 350 dB/km @ 1300nm",Fibre Optic,800N,-
"RS Pro OM1 Multi Mode Fibre Optic Cable 8 Core Flame Retardant, Low Smoke Zero Halogen (LSZH)",1 Reel of 250 Metre(s),"PHP22,012.60","Flame Retardant, Low Smoke Zero Halogen (LSZH)",OM1 Multi Mode,Loose Tube,-,6.5mm,250m,Low Smoke Zero Halogen (LSZH),"10D (Installed) mm, 20D (Installation) mm",8,Black,-,Fibre Optic,"500 (Installed) N, 1000 (Installation) N",-
RS Pro Single Mode Fibre Optic Cable 8 Core Low Smoke Zero Halogen (LSZH),1 Reel of 250 Metre(s),"PHP17,719.36",Low Smoke Zero Halogen (LSZH),Single Mode,Tight Buffer,-,5.8mm,250m,Low Smoke Zero Halogen (LSZH),"58 (Installed) mm, 116 (Installation) mm",8,Black,-,Fibre Optic,"375 (Installed) N, 750 (Installation) N",-
RS Pro Single Mode Fibre Optic Cable 20m 2 Core,1 Reel of 20,"PHP1,798.70",-,Single Mode,Duplex,Fibre Optic,1mm,20m,Polyethylene PE,50 mm,2,Black,"200 dB/km @ 660nm, 1500 dB/km @ 820nm",Fibre Optic,49N,-
RS Pro Multi Mode Fibre Optic Cable 500m 4 Core Low Smoke Zero Halogen (LSZH),1 Reel of 500 Metre(s),"PHP51,325.92",Low Smoke Zero Halogen (LSZH),Multi Mode,-,Fibre Optic,0.0625mm,500m,Low Smoke Zero Halogen (LSZH),69 mm,4,Black,-,Single Loose Tube,700N,-
Broadcom Single Mode Fibre Optic Cable 100m 2 Core,Each,"PHP7,686.10",-,Single Mode,Duplex,-,1060µm,100m,Polyethylene PE,35 mm,2,Black,0.27 dB/m,Fibre Optic,-,HFBR
Broadcom Single Mode Fibre Optic Cable 500m 2 Core,Each,"PHP33,003.92",-,Single Mode,Duplex,-,1.06mm,500m,Polyethylene PE,35 mm,2,Black,-,Fibre Optic,100N,HFBR
Broadcom Single Mode Fibre Optic Cable 500m,Each,"PHP38,430.48",-,Single Mode,Duplex,-,1.06mm,500m,Polyethylene PE,25 mm,2,Black,0.23 dB/m,Fibre Optic,-,HFBR
RS Pro OM3 Multi Mode Fibre Optic Cable 8 Core Low Smoke Zero Halogen (LSZH),1 Reel of 250 Metre(s),"PHP30,335.77",Low Smoke Zero Halogen (LSZH),OM3 Multi Mode,Tight Buffer,-,5.8mm,250m,Low Smoke Zero Halogen (LSZH),"58 (Installed) mm, 116 (Installation) mm",8,Black,-,Fibre Optic,"375 (Installed) N, 750 (Installation) N",-
Broadcom Single Mode Fibre Optic Cable Single Core,Each,"PHP24,912.30",-,Single Mode,Simplex,-,1.06mm,500m,Polyethylene PE,25 mm,1,Black,0.23 dB/m,Fibre Optic,22N,HFBR
"RS Pro Multi Mode Fibre Optic Cable 16 Core Flame Retardant, Low Smoke Zero Halogen (LSZH)",1 Reel of 250 Metre(s),"PHP23,862.95","Flame Retardant, Low Smoke Zero Halogen (LSZH)",Multi Mode,Armoured,-,9.2mm,250m,Low Smoke Zero Halogen (LSZH),"10D (Installed) mm, 20D (Loaded) mm",16,Black,-,Fibre Optic,"500 (Long Term) N, 1000 (Short Term) N",-
RS Pro OM3 Multi Mode Fibre Optic Cable 24 Core Low Smoke Zero Halogen (LSZH),1 Reel of 250 Metre(s),"PHP71,824.66",Low Smoke Zero Halogen (LSZH),OM3 Multi Mode,Tight Buffer,-,8.9mm,250m,Low Smoke Zero Halogen (LSZH),"75 (Installed) mm, 150 (Installation) mm",24,Black,-,Fibre Optic,"450 (Installed) N, 900 (Installation) N",-
"Niebuhr Black Fibre Optic Cable, 60m, 2 Core , Polyethylene PE Sheath",1 Reel of 60 Metre(s),"PHP7,076.94",-,-,-,-,1mm,60m,Polyethylene PE,50 mm,2,Black,200-300 dB/km @ 650nm,Fibre Optic,20N,-
Broadcom Single Mode Fibre Optic Cable 100m Single Core,Each,"PHP4,286.10",-,Single Mode,Simplex,-,1mm,100m,Polyethylene PE,25 mm,1,Black,150-270 dB/km @ 660nm,Fibre Optic,22N,HFBR
RS Pro Fibre Optic Cable 20m 2 Core,1 Reel of 20 Metre(s),"PHP5,011.00",-,-,-,-,980µm,20m,Polyethylene PE,25 mm,2,Black,-,Twin Core,-,-
RS Pro Single Mode Fibre Optic Cable 24 Core Low Smoke Zero Halogen (LSZH),1 Reel of 250 Metre(s),"PHP36,270.27",Low Smoke Zero Halogen (LSZH),Single Mode,Tight Buffer,-,8.9mm,250m,Low Smoke Zero Halogen (LSZH),"75 (Installed) mm, 150 (Installation) mm",24,Black,-,Fibre Optic,"450 (Installed) N, 900 (Installation) N",-
"RS Pro OM1 Multi Mode Fibre Optic Cable 12 Core Flame Retardant, Low Smoke Zero Halogen (LSZH)",1 Reel of 250 Metre(s),"PHP66,844.26","Flame Retardant, Low Smoke Zero Halogen (LSZH)",OM1 Multi Mode,Armoured,-,8.5mm,250m,Low Smoke Zero Halogen (LSZH),"10D (Installed) mm, 20D (Loaded) mm",12,Black,-,Fibre Optic,"500 (Long Term) N, 1000 (Short Term) N",-
RS Pro OM3 Multi Mode Fibre Optic Cable 16 Core Low Smoke Zero Halogen (LSZH),1 Reel of 250 Metre(s),"PHP63,446.07",Low Smoke Zero Halogen (LSZH),OM3 Multi Mode,Tight Buffer,-,-,250m,Low Smoke Zero Halogen (LSZH),-,16,Black,-,Fibre Optic,-,-
Niebuhr Fibre Optic Cable 60m 2 Core,1 Reel of 60 Metre(s),"PHP15,273.13",-,-,-,-,1mm,60m,Polyvinyl Chloride PVC,60 mm,2,Red,200 dB/km @ 660nm,Fibre Optic,300N,UN
Niebuhr Fibre Optic Cable 30m 2 Core,1 Reel of 30 Metre(s),"PHP8,708.27",-,-,-,-,1mm,30m,Polyvinyl Chloride PVC,60 mm,2,Red,220 dB/km @ 660nm,Fibre Optic,300N,UN
RS Pro Single Mode Fibre Optic Cable 20m Single Core,1 Reel of 20,"PHP1,834.26",-,Single Mode,Simplex,Fibre Optic,1mm,20m,Polyethylene PE,50 mm,1,Black,"200 dB/km @ 660nm, 1500 dB/km @ 820nm",Fibre Optic,49N,-
"RS Pro Single Mode Fibre Optic Cable 24 Core Flame Retardant, Low Smoke Zero Halogen (LSZH)",1 Reel of 250 Metre(s),"PHP17,180.23","Flame Retardant, Low Smoke Zero Halogen (LSZH)",Single Mode,Loose Tube,-,6.7mm,250m,Low Smoke Zero Halogen (LSZH),"10D (Installed) mm, 20D (Installation) mm",24,Black,-,Fibre Optic,"500 (Installed) N, 1000 (Installation) N",-
MikroElektronika Fibre Optic Cable 1m,Each,PHP92.29,-,Multi Mode,-,-,-,1m,Polyethylene PE,-,2,Black,-,-,-,MIKROE
Phoenix Contact Fibre Optic Patch Panel,Each,PHP797.78,-,-,-,-,-,-,-,-,-,-,-,-,-,-
