name,pack,price,supported_frequency_bands,interface,antenna_connector,sim_socket,dimensions,weight,depth,height,maximum_operating_temperature,maximum_supply_voltage,minimum_operating_temperature,minimum_supply_voltage,width
"Quasar GSM &amp GPRS Modem GSM-Q2403, 900/1800 MHz, RS232, SMA Connector",Each,"PHP4,949.98",900/1800 MHz,RS232,SMA,Yes,76 x 54 x 25mm,100g,54mm,25mm,+55°C,36V dc,-20°C,6V dc,76mm
Siretta GSM &amp GPRS Modem Evaluation Kit LC300-UMTS STARTER KIT,Each,"PHP21,393.38","2.1 GHz (3G), 850 MHz (Quad Band GSM/GPRS), 900 MHz (Quad Band GSM/GPRS), 1800 MHz (Quad Band GSM/GPRS), 1900 MHz (Quad Band GSM/GPRS)","RS232, USB 2.0",SMA Female,Yes,"34 x 105 (Antenna) mm, 67 x 93 x 28 (Modem) mm",-,93mm,"28 mm, 105 mm","+75 °C, +85 °C",60V dc,"-40 °C, -30 °C",5V dc,"34 mm, 67 mm"
"Siretta GSM &amp GPRS Modem ZETA-G-UMTS -V2, 800 MHz, 850 MHz, 900 MHz, 1700 MHz, 1900 MHz, 2100 MHz",Each,"PHP11,831.50","800 MHz, 850 MHz, 900 MHz, 1700 MHz, 1900 MHz, 2100 MHz","RS232, Serial, USB 2.0",SMA Female,Yes,68 x 93 x 28mm,101g,93mm,28mm,+80°C,42V dc,-30°C,5V dc,68mm
"Siretta GSM &amp GPRS Modem ZOOM-N-GPRS, 850 MHz, 900 MHz, 1800 MHz, 1900 MHz, RS232, Serial, USB, SMA Female Connector",Each,"PHP3,640.19","850 MHz, 900 MHz, 1800 MHz, 1900 MHz","RS232, Serial, USB",SMA Female,Yes,86 x 60 x 11mm,54g,60mm,11mm,+75°C,42V dc,-30°C,5V dc,86mm
"Siretta GSM &amp GPRS Modem ZETA-N-UMTS, 800 MHz, 850 MHz, 900 MHz, 1700 MHz, 1900 MHz, 2100 MHz, RS232, Serial, USB 2.0",Each,"PHP13,215.00","800 MHz, 850 MHz, 900 MHz, 1700 MHz, 1900 MHz, 2100 MHz","RS232, Serial, USB 2.0",SMA Female,Yes,68 x 93 x 28mm,101g,93mm,28mm,+80°C,42V dc,-30°C,5V dc,68mm
"Siretta GSM &amp GPRS Modem ZOOM-G-GPRS, 850 MHz, 900 MHz, 1800 MHz, 1900 MHz, RS232, Serial, USB, SMA Female Connector",Each,"PHP4,663.96","850 MHz, 900 MHz, 1800 MHz, 1900 MHz","RS232, Serial, USB",SMA Female,Yes,86 x 60 x 11mm,54g,60mm,11mm,+75°C,42V dc,-30°C,5V dc,86mm
"Siretta GSM &amp GPRS Modem ZOOM-G-UMTS, 800 MHz, 850 MHz, 1900 MHz, 2100 MHz, RS232, Serial, USB, SMA Female Connector",Each,"PHP9,219.95","800 MHz, 850 MHz, 1900 MHz, 2100 MHz","RS232, Serial, USB",SMA Female,Yes,86 x 60 x 11mm,54g,60mm,11mm,+85°C,42V dc,-40°C,5V dc,86mm
"Siretta GSM &amp GPRS Modem LC200-UMTS(EU), 2100 (3G) MHz, RS232, USB 2.0, SMA Female Connector",Each,"PHP17,601.26",2100 (3G) MHz,"RS232, USB 2.0",SMA Female,-,84 x 75 x 31mm,-,75mm,31mm,+75°C,21V dc,-30°C,5V dc,84mm
"Siretta GSM &amp GPRS Modem LC300-UMTS, 2.1 (3G) MHz, RS232, USB 2.0, SMA Female Connector",Each,"PHP14,799.00",2.1 (3G) MHz,"RS232, USB 2.0",SMA Female,Yes,67 x 93 x 28mm,-,93mm,28mm,+75°C,42V dc,-30°C,6V dc,67mm
"Siretta GSM &amp GPRS Modem ZULU-N-UMTS, 850 MHz, 900 MHz, 1700 MHz, 1900 MHz, 2100 MHz, RS232, Serial, USB",Each,"PHP15,850.10","850 MHz, 900 MHz, 1700 MHz, 1900 MHz, 2100 MHz","RS232, Serial, USB",SMA Female,Yes,134.26 x 74.26 x 33mm,125g,74.3mm,33mm,+80°C,42V,-30°C,5V,134.3mm
