name,pack,price,model,wireless_connectivity,network_speed,wifi_rating,wifi_standard,wireless_data_rate,wifi_band,number_of_lan_ports,security_protocols,dimensions,weight,depth,width,height
Edimax BR-6428nC N300 Wireless Router,Each,"PHP2,443.16",BR-6428nC,WiFi,-,N300,-,-,2.4GHz,4,"WEP, WPA, WPA2-PSK",135 x 28 x 110mm,234g,110mm,135mm,234g
D-Link DIR-880L AC1900 Wireless Router,Each,"PHP17,461.78",DIR-880L,WiFi,-,AC1900,"802.11a, 802.11ac, 802.11b, 802.11g, 802.11n, 802.3u",-,"2.4 GHz, 5 GHz",4,"WEP, WPA, WPA2-PSK",246.9 x 190.5 x 47.2mm,680g,190.5mm,246.9mm,680g
D-Link DWR-921 4G LTE Wireless Router,Each,"PHP16,569.97",DWR-921,"3G, 4G LTE",10/100Mbit/s,-,"802.11b, 802.11g, 802.11n, 802.3, 802.3u",300Mbit/s,2.4GHz,4,"WEP, WPA, WPA2-PSK",190 x 111.5 x 23.5mm,500g,111.5mm,190mm,500g
D-Link DAP-1665 AC1200 Wireless Router,Each,"PHP6,979.50",DAP-1665,WiFi,-,AC1200,"802.11a, 802.11ac, 802.11b, 802.11g, 802.11n, 802.3u",1200Mbit/s,"2.4 GHz, 5 GHz",1,"WEP, WPA, WPA2-PSK",147 x 108 x 27.8mm,222g,108mm,147mm,222g
Netgear Nighthawk X6 AC3200 Wireless Router,Each,"PHP19,528.60",Nighthawk X6,WiFi,10/100/1000Mbit/s,AC3200,"802.11a, 802.11ac, 802.11b, 802.11g, 802.11n",-,"2.4 GHz, 5 GHz",4,"WPA, WPA2-PSK",295.5 x 226.8 x 54.5mm,1.1kg,226.8mm,295.5mm,1.1kg
Digi International Wireless Router,Each,"PHP4,315.54",-,-,-,-,-,250kbit/s,2.4GHz,-,-,-,-,-,-,-
Digi International Wireless Router,Each,"PHP26,352.34",-,-,10/100Mbit/s,-,"802.11b, 802.11g",54Mbit/s,2.4GHz,-,"AES, IPsec, SSL, 3DES",133.3 x 85 x 10mm,340g,85mm,133.3mm,340g
Digi International Wireless Router,Each,"PHP4,441.03",-,-,-,-,-,250kbit/s,2.4GHz,-,-,-,-,-,-,-
Digi International Wireless Router,Each,"PHP4,315.54",-,-,-,-,-,250kbit/s,2.4GHz,-,-,72.9 x 50.04 x 34.8mm,-,50.04mm,72.9mm,-
Netgear Nighthawk X4S AC2600 Wireless Router,Each,"PHP17,390.76",Nighthawk X4S,WiFi,10/100/1000Mbit/s,AC2600,"802.11a, 802.11ac, 802.11b, 802.11g, 802.11n",-,2.4GHz,4,"WPA, WPA2-PSK",285 x 185 x 50mm,840g,185mm,285mm,840g
Netgear AC1750 Wireless Router,Each,"PHP11,021.67",AC1750,-,10/100/1000Mbit/s,-,802.11ac,450Mbit/s,"2.4 GHz, 5 GHz",4,"WPA, WPA-PSK, WPA2, WPA2-PSK",191 x 198.5 x 65mm,430g,191mm,198.5mm,430g
D-Link DSR-100AC Wireless Router,Each,"PHP32,932.22",DSR-100AC,WiFi,-,-,"802.11a, 802.11ac, 802.11b, 802.11g, 802.11n",-,-,-,"WEP, WPA-EAP, WPA-PSK, WPA2- EAP, WPA2-PSK, WPS",-,-,180mm,280mm,-
D-Link EXO AC1900 AC1900 Wireless Router,Each,"PHP9,841.00",EXO AC1900,WiFi,-,AC1900,-,1900Mbit/s,"2.4 GHz, 5 GHz",4,"WPA, WPA2, WPS",258.8 x 183.4 x 44.9mm,565g,183.4mm,258.8mm,565g
Digi International Wireless Router,Each,"PHP4,511.73",-,-,-,-,-,250Mbit/s,2.4GHz,-,-,-,-,-,-,-
